,Mean,SD,p2.5,p5,p25,p50,p75,p95,p97.5,species_code,sci_name,source
p.global.Co,0.031,0.028,0.001,0.002,0.009,0.023,0.045,0.086,0.101,CA,Cephalopholis argus,Co
p.global.De,0.575,0.072,0.426,0.452,0.528,0.577,0.625,0.689,0.707,CA,Cephalopholis argus,De
p.global.He,0.035,0.031,0.001,0.002,0.011,0.027,0.05,0.098,0.118,CA,Cephalopholis argus,He
p.global.Zp,0.358,0.056,0.238,0.264,0.322,0.36,0.396,0.447,0.461,CA,Cephalopholis argus,Zp
p.global.Co,0.088,0.061,0.006,0.011,0.04,0.074,0.125,0.208,0.23,CU,Cephalopholis urodeta,Co
p.global.De,0.159,0.065,0.025,0.044,0.114,0.161,0.203,0.264,0.282,CU,Cephalopholis urodeta,De
p.global.He,0.029,0.026,0.001,0.002,0.01,0.021,0.042,0.082,0.098,CU,Cephalopholis urodeta,He
p.global.Zp,0.724,0.044,0.628,0.647,0.697,0.725,0.754,0.792,0.806,CU,Cephalopholis urodeta,Zp
p.global.Co,0.047,0.043,0.001,0.002,0.015,0.034,0.068,0.138,0.158,AF,Aphareus furca,Co
p.global.De,0.122,0.047,0.027,0.04,0.092,0.124,0.155,0.196,0.21,AF,Aphareus furca,De
p.global.He,0.026,0.024,0.001,0.002,0.009,0.02,0.037,0.073,0.087,AF,Aphareus furca,He
p.global.Zp,0.804,0.037,0.729,0.742,0.781,0.805,0.83,0.864,0.874,AF,Aphareus furca,Zp
p.global.Co,0.097,0.086,0.004,0.007,0.032,0.072,0.136,0.27,0.32,CM,Caranx melampygus,Co
p.global.De,0.311,0.129,0.064,0.101,0.219,0.312,0.397,0.524,0.563,CM,Caranx melampygus,De
p.global.He,0.066,0.061,0.002,0.004,0.022,0.049,0.093,0.184,0.227,CM,Caranx melampygus,He
p.global.Zp,0.526,0.119,0.298,0.339,0.447,0.524,0.604,0.732,0.768,CM,Caranx melampygus,Zp
p.global.Co,0.049,0.037,0.002,0.004,0.02,0.041,0.071,0.122,0.135,LB,Lutjanus bohar,Co
p.global.De,0.234,0.056,0.122,0.142,0.196,0.234,0.271,0.325,0.343,LB,Lutjanus bohar,De
p.global.He,0.027,0.026,0.001,0.001,0.008,0.02,0.037,0.08,0.094,LB,Lutjanus bohar,He
p.global.Zp,0.691,0.048,0.59,0.608,0.66,0.692,0.722,0.768,0.784,LB,Lutjanus bohar,Zp
p.global.Co,0.445,0.178,0.055,0.1,0.336,0.464,0.574,0.71,0.746,LF,Lutjanus fulvus,Co
p.global.De,0.339,0.19,0.069,0.09,0.195,0.303,0.449,0.725,0.798,LF,Lutjanus fulvus,De
p.global.He,0.02,0.027,0,0.001,0.004,0.011,0.026,0.07,0.09,LF,Lutjanus fulvus,He
p.global.Zp,0.195,0.091,0.053,0.07,0.129,0.182,0.25,0.362,0.401,LF,Lutjanus fulvus,Zp